ORIGIN_AIRPORT,DEST_AIRPORT,Adjusted_Air_Time
BOS,JFK,76
DFW,MSP,139
MSP,DFW,155
STL,LGA,213
CLT,LGA,128
ORF,LGA,93
LGA,CHO,101
DTW,CVG,71
MHT,LGA,69
GSP,LGA,117
IAD,JFK,67
IAH,DTW,228
JFK,ORD,116
CVG,DTW,62
DFW,MSP,131
MSP,DFW,155
ATL,AVL,58
AVL,ATL,70
LGA,PWM,88
CVG,PHL,95
PHL,CVG,114
JFK,DTW,111
MCI,LGA,240
CVG,DFW,83
JFK,RDU,130
DTW,PIT,65
BDL,CVG,114
CVG,BDL,103
JFK,RIC,111
JFK,PIT,103
LGA,CLE,108
PIT,MSP,91
CLE,DTW,50
ATL,CAE,64
CAE,ATL,92
MSP,CVG,169
JFK,IAD,104
CLE,JFK,93
ORF,LGA,84
CAE,LGA,118
LGA,CLE,98
EWR,RDU,115
DTW,CLE,58
JFK,CLE,109
CVG,DTW,63
STL,LGA,195
EWR,DTW,115
CVG,EWR,120
DTW,IND,69
IND,DTW,71
SYR,DTW,74
RDU,JFK,92
CHO,LGA,85
CVG,EWR,111
JFK,RIC,105
JFK,BOS,82
DCA,JFK,64
BGR,LGA,98
LGA,BGR,93
LGA,ORF,84
ORD,JFK,190
ATL,AVL,55
AVL,ATL,77
JFK,BWI,82
CVG,ORD,17
ORD,CVG,134
MSP,IAH,170
ORF,LGA,90
BOS,JAX,185
JAX,BOS,141
PHL,JFK,56
CLT,LGA,105
ATL,CHO,88
CHO,ATL,108
JFK,PWM,88
JFK,CHS,128
CVG,LGA,110
BDL,CLE,101
RIC,DTW,92
DCA,CVG,87
BWI,RDU,70
JFK,IAD,62
JFK,ORF,93
LGA,RIC,105
LGA,CLT,136
IAD,JFK,67
CVG,BOS,131
ATL,GSP,55
GSP,ATL,66
CVG,LGA,128
DTW,ORF,103
ORF,DTW,92
LGA,MKE,70
IAH,DTW,228
EWR,CVG,153
JFK,DFW,167
RIC,JFK,99
DTW,MEM,65
MEM,DTW,179
SYR,LGA,92
ATL,BHM,6
BHM,ATL,122
RDU,EWR,102
IAH,DTW,215
LGA,CLE,132
DTW,IAH,109
ORF,JFK,73
MKE,LGA,180
LGA,MCI,144
LGA,STL,137
BOS,CVG,140
CVG,DCA,90
LAX,JFK,530
LAX,SLC,163
SLC,LAX,58
DEN,MSP,181
SLC,ATL,340
LAS,DTW,420
MSP,DTW,160
DTW,MSP,62
SAN,ATL,454
SEA,ATL,479
ATL,SEA,142
MSP,JFK,233
AUS,JFK,277
MIA,JFK,187
MIA,JFK,188
SLC,OAK,52
MSP,DTW,152
RNO,SLC,139
CVG,BOS,164
SAN,ATL,444
SFO,ATL,456
SLC,ATL,339
PDX,LAX,139
LAX,PDX,136
MSY,ATL,155
TPA,ATL,101
MEM,ATL,157
ATL,MEM,27
GSP,ATL,69
